epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,3477.02,0.86104,0.61904,1.38386,0.86358,0.73187,0.74611,0.40581,1.7835,1.11785,2.71826,0.000665057,0.000665057,0.000665057
56,3528.14,0.89323,0.64149,1.39744,0.8572,0.69895,0.74215,0.40916,1.77234,1.18816,2.80024,0.000650909,0.000650909,0.000650909
57,3579.64,0.87925,0.62406,1.38685,0.88124,0.75451,0.78158,0.41498,1.83021,1.07648,2.78864,0.000636762,0.000636762,0.000636762
58,3629.95,0.8617,0.62329,1.38535,0.8675,0.73298,0.73871,0.39871,1.79511,1.10289,2.73426,0.000622615,0.000622615,0.000622615
59,3680.26,0.8667,0.61841,1.38126,0.85933,0.70493,0.75901,0.40867,1.81943,1.16725,2.80298,0.000608468,0.000608468,0.000608468
60,3729.27,0.85192,0.60124,1.37027,0.87003,0.72019,0.77308,0.41644,1.7992,1.08791,2.69748,0.000594321,0.000594321,0.000594321
61,3779.61,0.84693,0.60781,1.3712,0.8291,0.74567,0.76427,0.39369,1.86491,1.19836,2.76251,0.000580174,0.000580174,0.000580174
62,3831.57,0.85561,0.61462,1.37429,0.8635,0.72785,0.7626,0.42661,1.74158,1.09125,2.61125,0.000566027,0.000566027,0.000566027
63,3880.67,0.84559,0.5982,1.35867,0.88686,0.7066,0.77219,0.39755,1.84316,1.19512,2.73809,0.00055188,0.00055188,0.00055188
64,3931.52,0.84461,0.60673,1.36507,0.81965,0.67001,0.72721,0.38308,1.83563,1.29983,2.79261,0.000537733,0.000537733,0.000537733
65,3980.94,0.84162,0.60504,1.35781,0.808,0.71385,0.75409,0.37713,1.9304,1.24903,2.93097,0.000523586,0.000523586,0.000523586
66,4031.52,0.83746,0.60743,1.36019,0.85578,0.72013,0.76131,0.42115,1.83332,1.22894,2.84744,0.000509438,0.000509438,0.000509438
67,4080.38,0.82072,0.59298,1.35184,0.87909,0.73975,0.77518,0.42403,1.79984,1.10925,2.70705,0.000495291,0.000495291,0.000495291
68,4130.85,0.82329,0.58659,1.34405,0.87994,0.72752,0.78435,0.42952,1.75458,1.15048,2.68326,0.000481144,0.000481144,0.000481144
69,4179.94,0.81208,0.57287,1.33662,0.85696,0.74439,0.78272,0.43566,1.7475,1.10015,2.61018,0.000466997,0.000466997,0.000466997
70,4230.69,0.81645,0.57112,1.33765,0.83299,0.72347,0.76953,0.4064,1.85121,1.12131,2.77147,0.00045285,0.00045285,0.00045285
71,4280.28,0.80219,0.57849,1.33603,0.85065,0.73383,0.78133,0.42579,1.78395,1.06621,2.70652,0.000438703,0.000438703,0.000438703
72,4330.47,0.82773,0.58069,1.33989,0.86346,0.72582,0.78561,0.3964,1.87024,1.11274,2.87318,0.000424556,0.000424556,0.000424556
73,4380.07,0.80011,0.57665,1.32872,0.84236,0.7585,0.78875,0.45195,1.73552,1.02381,2.74054,0.000410409,0.000410409,0.000410409
74,4430.39,0.80222,0.57292,1.32475,0.8579,0.74519,0.78462,0.43637,1.77705,1.0994,2.73217,0.000396262,0.000396262,0.000396262
75,4480.94,0.7913,0.57376,1.32241,0.88808,0.72079,0.78656,0.43184,1.78509,1.05898,2.81049,0.000382115,0.000382115,0.000382115
76,4530.39,0.78358,0.55832,1.31177,0.84501,0.73225,0.78768,0.41667,1.78155,1.0505,2.81357,0.000367967,0.000367967,0.000367967
77,4581.49,0.78282,0.5675,1.31811,0.86604,0.73752,0.78092,0.42527,1.75919,1.07252,2.75416,0.00035382,0.00035382,0.00035382
78,4630.43,0.7953,0.5616,1.3158,0.88076,0.76481,0.80897,0.42516,1.81189,0.99726,2.86683,0.000339673,0.000339673,0.000339673
79,4681.1,0.77271,0.55866,1.3131,0.85558,0.76382,0.78665,0.42013,1.79273,1.03021,2.83217,0.000325526,0.000325526,0.000325526
80,4730.28,0.77642,0.55082,1.30568,0.89664,0.71431,0.79557,0.41786,1.831,1.11329,2.85904,0.000311379,0.000311379,0.000311379
81,4781.34,0.76958,0.5522,1.29877,0.84874,0.71415,0.77973,0.42727,1.76838,1.0744,2.7986,0.000297232,0.000297232,0.000297232
82,4830.14,0.77477,0.54845,1.31224,0.84613,0.73477,0.78851,0.42139,1.77654,1.07365,2.79525,0.000283085,0.000283085,0.000283085
83,4880.94,0.74744,0.53464,1.29256,0.87974,0.73415,0.80361,0.43475,1.76665,1.1183,2.79856,0.000268938,0.000268938,0.000268938
84,4929.32,0.75487,0.53824,1.29486,0.88948,0.74288,0.78629,0.42319,1.7941,1.09974,2.83559,0.000254791,0.000254791,0.000254791
85,4979.75,0.75393,0.53239,1.29342,0.88661,0.75,0.79443,0.42202,1.79387,1.07167,2.88564,0.000240644,0.000240644,0.000240644
86,5029.07,0.74147,0.521,1.2842,0.87864,0.73008,0.78411,0.41993,1.79715,1.08843,2.89173,0.000226497,0.000226497,0.000226497
87,5079.94,0.7539,0.53459,1.29026,0.90778,0.72749,0.80204,0.41845,1.81148,1.0543,2.95674,0.000212349,0.000212349,0.000212349
88,5128.7,0.74346,0.51716,1.2803,0.85699,0.72374,0.77886,0.41456,1.80185,1.13181,2.92249,0.000198202,0.000198202,0.000198202
89,5179.41,0.72498,0.50328,1.27657,0.88152,0.73363,0.79442,0.4128,1.81707,1.08057,2.97603,0.000184055,0.000184055,0.000184055
90,5227.84,0.73401,0.52265,1.27337,0.85194,0.71474,0.76781,0.42655,1.77022,1.17483,2.87725,0.000169908,0.000169908,0.000169908
91,5280.89,0.56808,0.33871,1.21877,0.85959,0.73342,0.75648,0.39917,1.79231,1.08007,2.878,0.000155761,0.000155761,0.000155761
92,5328.22,0.56094,0.31058,1.20468,0.87624,0.72625,0.75988,0.40445,1.77148,1.10104,2.82246,0.000141614,0.000141614,0.000141614
93,5376.75,0.54238,0.29782,1.19212,0.87853,0.73313,0.76925,0.4011,1.79132,1.07005,2.8306,0.000127467,0.000127467,0.000127467
